wiki_id,name
aPUDE1U/5650,indoxyl sulfate
aPUDE1U/5960,indoxyl sulfate
aPUDE1U/748,imidazolepropionic acid
aPUDE1U/3861,imidazolepropionic acid
aPUDE1U/954,hippuric acid_major
aPUDE1U/1372,hippuric acid
aPUDE1U/5347,hippuric acid
aPUDE1U/3880,HEPES buffer
aPUDE1U/3879,HEPES buffer
aPUDE1U/3324,gulonolactone
aPUDE1U/426,gluconic acid
aPUDE1U/5268,guanosine
aPUDE1U/2422,guanosine
aPUDE1U/1310,guanine
aPUDE1U/5394,glycochenodeoxycholic acid
aPUDE1U/3050,glycochenodeoxycholic acid
aPUDE1U/3223,"glutathione, S-lactoyl-"
aPUDE1U/5322,"glutathione, S-lactoyl-"
aPUDE1U/1305,"glutathione, reduced"
aPUDE1U/4787,"glutathione, reduced"
aPUDE1U/845,"glutathione, reduced"
aPUDE1U/5217,"glutathione, oxidized (here with cysteine- and cysteine-loss)"
aPUDE1U/1432,"glutathione, oxidized"
aPUDE1U/4152,"glutathione, oxidized"
aPUDE1U/2322,glutamine
aPUDE1U/4048,glucose 6-phosphate
aPUDE1U/3257,glucose-6-phosphate major
aPUDE1U/4659,gluconolactone
aPUDE1U/3168,gallic acid
aPUDE1U/4156,gallic acid
aPUDE1U/473,galacto-N-biose
aPUDE1U/4705,galacto-N-biose
aPUDE1U/3979,fucose 1-phosphate
aPUDE1U/5361,fucose 1-phosphate
aPUDE1U/5907,fructose
aPUDE1U/3429,fructose
aPUDE1U/5417,fructose
aPUDE1U/883,fructose
aPUDE1U/4440,fluconazole
aPUDE1U/3347,fluconazole
aPUDE1U/268,flucloxacillin
aPUDE1U/3827,flucloxacillin
aPUDE1U/3089,fenofibric acid
aPUDE1U/957,fenofibric acid
aPUDE1U/3090,fenofibric acid
aPUDE1U/4663,etodolac_minor
aPUDE1U/959,etodolac
aPUDE1U/1121,diflunisal_minor b
aPUDE1U/3293,diflunisal_minor b
aPUDE1U/3383,diflunisal
aPUDE1U/2530,diflunisal
aPUDE1U/5057,dihydrouracil
aPUDE1U/4061,adenylosuccinic acid
aPUDE1U/3132,adenylo-succinic acid
aPUDE1U/4640,anserine
aPUDE1U/4897,anserine
aPUDE1U/1056,arginine
aPUDE1U/2288,arginine
aPUDE1U/1283,arginine
aPUDE1U/5138,arginine
aPUDE1U/2678,C10-LAS
aPUDE1U/4536,cis-aconitic acid
aPUDE1U/2562,cis-aconitic acid
aPUDE1U/4008,citicoline
aPUDE1U/5224,citicoline
aPUDE1U/3725,citrulline
aPUDE1U/4998,citrulline
aPUDE1U/5082,CMPF
aPUDE1U/5083,CMPF
aPUDE1U/299,CoA
aPUDE1U/4006,CoA
aPUDE1U/4451,cysteic acid
aPUDE1U/5387,cysteic acid
aPUDE1U/2349,dehydroascorbic acid
aPUDE1U/345,dehydroascorbic acid b
aPUDE1U/415,dehydroascorbic acid dimer
aPUDE1U/3366,dehydroascorbic acid dimer
aPUDE1U/688,4-pyridoxic acid
aPUDE1U/4608,4-pyridoxic acid
aPUDE1U/4646,"5,6-dihydrouridine"
aPUDE1U/5330,5-acetylamino-6-amino-3-methyluracil
aPUDE1U/1430,5-acetylamino-6-amino-3-methyluracil
aPUDE1U/5772,5-acetylamino-6-amino-3-methyluracil
aPUDE1U/5124,5-acetylamino-6-formylamino-3-methyluracil
aPUDE1U/4139,5-acetylamino-6-formylamino-3-methyluracil
aPUDE1U/4635,5-keto-gluconic acid
aPUDE1U/3082,5keto-gluconic acid
aPUDE1U/5203,5-oxoproline
aPUDE1U/5492,5-oxoproline
aPUDE1U/3093,7-methyluric acid
aPUDE1U/2883,7-methyluric acid
aPUDE1U/3235,4-hydroxyphenyl sulfate
aPUDE1U/5509,4-acetamidobutanoic acid
aPUDE1U/5621,4-(2-hydroxyethyl)piperazine-1-ethanesulfonic acid
aPUDE1U/2416,3-hydroxyhippuric acid
aPUDE1U/4846,"3-hydroxy-4,9-dimethyl-10-oxo-10-deca-6,8-dienoic acid-glycoside"
aPUDE1U/1328,3-hydroxy-1-propanesulfonic acid
aPUDE1U/3070,3-formyl-2-hydroxybenzoic acid
aPUDE1U/4358,"3-amino-5H-pyrimido[5,4-b]indol-4-one"
aPUDE1U/3214,"3,3'-iminodipropionic acid"
aPUDE1U/5370,3-(cyclohexylamino)-2-hydroxy-1-propanesulfonic acid
aPUDE1U/3084,"3-(2,6-dioxotetrahydro-2H-pyran-3-yl)propanoic acid"
aPUDE1U/3747,"2-naphthalenesulfonic acid, 7-(acetylamino)-4-hydroxy-"
aPUDE1U/3191,2-hydroxy-5-sulfonicotinic acid
aPUDE1U/4651,2-hydroxy-3-isopropylsuccinic acid
aPUDE1U/3319,"2-[3-[2-(1,3-benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropoxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
aPUDE1U/3306,"2,4-dihydroxycinnamic acid"
aPUDE1U/5321,"2',4-dihydroxychalcone"
aPUDE1U/5315,"2,4,5-trihydroxybenzoic acid"
aPUDE1U/301,2-(methylamino)ethanesulfonic acid a
aPUDE1U/3203,2-(methylamino)ethanesulfonic acid
aPUDE1U/302,2-(methylamino)ethanesulfonic acid
aPUDE1U/4721,2-(difluoromethoxy)pyridin-4-ol
aPUDE1U/3446,2-((3-sulfooxybenzoyl)amino)acetic acid
aPUDE1U/956,1-aminobenzimidazole-2-sulfonic acid
aPUDE1U/3066,"1,3-dicaffeoylquinic acid"
aPUDE1U/4932,"1,3,7-trimethyluric acid"
aPUDE1U/5143,(4-aminophenyl)phosphonic acid
aPUDE1U/4459,(2-ethylhexyl)phosphonic acid mono-2-ethylhexyl ester
aPUDE1U/628,xylose
aPUDE1U/4231,inosine
aPUDE1U/304,isopentenyl pyrophosphate
aPUDE1U/3557,isovaleryl-glutamic acid
aPUDE1U/2519,"lithocholylglycine, minor broad peak"
aPUDE1U/5399,"lithocholylglycine, minor broad peak b"
aPUDE1U/3316,malonic acid
aPUDE1U/5093,N-acetyl-D-galactosamine 4-sulfate
aPUDE1U/5286,laurylsulfuric acid
aPUDE1U/3371,zalcitabine
aPUDE1U/2453,3-[3-(sulfooxy)phenyl]propanoic acid
aPUDE1U/1084,3-(octylsulfanyl)propanoic acid
aPUDE1U/5273,arthrobactin
aPUDE1U/5968,2-(2-naphthyloxy)propanoic acid
aPUDE1U/3858,tetraconazole
aPUDE1U/5380,"4-(methylthio)-6-oxo-1,6-dihydro-5-pyrimidinecarbonitrile"
aPUDE1U/5178,Pro-Glu
aPUDE1U/3058,tetraconazole
aPUDE1U/3891,vanillic acid glucoside
aPUDE1U/3462,"1,4-piperazinediethanesulfonic acid"
aPUDE1U/2726,3-furoic acid
aPUDE1U/2926,myo-inositol
aPUDE1U/4078,urolithin A_major peak
aPUDE1U/3953,theophylline
aPUDE1U/5033,urolithin B
aPUDE1U/4300,trifluoroacetic acid
aPUDE1U/2802,succinic acid
aPUDE1U/4757,"quinoline-2,8-diol"
aPUDE1U/3361,"quinoline-2,8-diol"
aPUDE1U/5495,phosphoric acid
aPUDE1U/709,phenobarbital
aPUDE1U/930,orotic acid
aPUDE1U/3184,salicyluric acid
aPUDE1U/3699,nonyl sulfate
aPUDE1U/5405,NP-022920_sulfate glycoside
aPUDE1U/3360,oxybenzone
aPUDE1U/3453,pantoyl-taurine
aPUDE1U/4095,picolinic acid
aPUDE1U/2578,pyrophosphoric acid
aPUDE1U/3885,ribulose
aPUDE1U/803,saccharinyl-acetic acid
aPUDE1U/5352,secologanin
aPUDE1U/1012,succinic acid
aPUDE1U/3181,sulfodeoxycholic acid
aPUDE1U/2351,tachioside
aPUDE1U/276,"taurine, N-carbamoylmethyl-"
aPUDE1U/3777,taurolithocholic acid sulfate
aPUDE1U/4641,turanose
aPUDE1U/4822,uracil
aPUDE1U/5958,ureidoisobutyric acid
aPUDE1U/1369,galactitol
aPUDE1U/5962,hydrochlorothiazide
aPUDE1U/4453,harmol
aPUDE1U/3435,gulonolactone
aPUDE1U/5486,glyceraldehyde
aPUDE1U/5098,genistein
aPUDE1U/2780,gallic acid
aPUDE1U/3116,formyl-methionine
aPUDE1U/5228,formyl-methionine
aPUDE1U/2480,etodolac
aPUDE1U/3225,etodolac
aPUDE1U/3357,etodolac
aPUDE1U/4553,etodolac
aPUDE1U/4076,dodecylbenzenesulfonic acid
aPUDE1U/309,"5,6-dihydrouridine"
aPUDE1U/3077,"cholan-24-oic acid, 12-hydroxy-3-oxo-"
aPUDE1U/3691,deoxycholic acid 3-sulfate
aPUDE1U/5883,dehydroascorbic acid dimer
aPUDE1U/5435,tetradecane-7-sulfonic acid
aPUDE1U/600,sulfocholic acid a
aPUDE1U/3054,sulfocholic acid
aPUDE1U/4290,succinic acid
aPUDE1U/609,"phloretic acid, sulfate"
aPUDE1U/3141,phenol sulfate
